2025-11-30 14:23:06.574399, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:06.782758, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:06.991013, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:07.200342, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:07.408091, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:07.617514, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:07.826185, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:08.036398, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:08.244988, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:08.451948, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:08.661179, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:08.869294, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:09.076322, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:09.284386, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:09.492927, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:09.702100, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:09.910547, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:10.117860, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:10.326357, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:10.534303, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:10.743899, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:10.952431, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:11.160693, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:11.368808, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:11.577412, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:11.786753, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:11.995276, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:12.202812, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:12.412180, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:12.621108, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:12.829044, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:13.037181, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:13.246496, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:13.455822, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:13.663870, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:13.873247, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:14.082000, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:14.290122, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:14.499752, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:14.707726, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
2025-11-30 14:23:14.915769, Drone=(-0.001,-0.001,1.196), Target=(0.000,0.000,1.200)
